linh_vuc,ma_luat,dieu_kien,tang_pheu,nguyen_nhan,cach_sua,do_tin_cay,nguon_tham_khao
youtube,YT-11,views >= views_baseline * 1.5 AND subs < subs_baseline,engagement,"Views tăng nhưng không ra subs → khán giả vãng lai, thiếu lý do theo dõi kênh","Làm chuỗi nội dung nhiều kỳ; CTA đăng ký gắn với lợi ích cụ thể của kênh",vừa,"Sub conversion - cộng đồng creator"
youtube,YT-12,watchtime < watchtime_baseline * 0.7 AND retention >= retention_baseline,watchtime,"Retention ổn mà watchtime giảm → đăng thưa đi hoặc video ngắn đi","Giữ nhịp đăng đều; cân nhắc video dài hơn ở nhóm chủ đề đang hiệu quả",vừa,"Watchtime = số video x views x retention"
youtube,YT-13,impressions >= impressions_baseline AND ctr < 0.02,ctr,"Được đề xuất nhiều nhưng CTR rất thấp → bao bì lệch với tệp khán giả đang được đề xuất","Chỉnh thumbnail/tiêu đề khớp ý định của tệp khán giả; xem tab 'Nguồn traffic' để hiểu tệp",cao,"CTR theo nguồn traffic"
youtube,YT-14,revenue < revenue_baseline * 0.7 AND rpm >= rpm_baseline,revenue,"Doanh thu giảm nhưng RPM vẫn ổn → nguồn gốc là lượng xem giảm, xử lý ở tầng phễu trên","Quay lại chẩn đoán impressions/CTR/retention — đừng sửa ở tầng doanh thu",cao,"Phân rã doanh thu = views x RPM"
youtube,YT-15,hook_retention >= 0.7 AND retention < retention_baseline * 0.8,retention,"Hook tốt nhưng rớt người xem ở giữa video → đoạn giữa lan man","Xem biểu đồ retention tìm đúng điểm rớt; cắt phần thừa; thêm điểm nhấn mỗi 30-60s",cao,"Đọc biểu đồ retention từng video"
youtube,YT-16,views < views_baseline * 0.8 AND impressions >= impressions_baseline,ctr,"Hiển thị vẫn ổn nhưng views giảm → nút thắt nằm ở CTR","Ưu tiên sửa bao bì (thumbnail/tiêu đề) trước khi nghĩ đến sửa nội dung",cao,"Phễu impressions → CTR → views"
youtube,YT-17,engagement >= engagement_baseline * 1.5 AND views < views_baseline,impressions,"Tương tác cao mà views thấp → chỉ fan cứng xem, chưa thoát khỏi tệp cũ","Làm chủ đề rộng hơn 1 bậc so với thường lệ; tối ưu SEO để kéo khán giả mới",vừa,"Tỷ lệ khán giả mới/quay lại"
youtube,YT-18,retention >= 0.6 AND ctr >= 0.06 AND views < views_baseline,impressions,"Mọi chỉ số video đều tốt mà views thấp → thuật toán chưa đẩy hoặc chủ đề nguội","Chờ 1-2 tuần; đẩy qua playlist/tab cộng đồng; KHÔNG vội sửa video đang tốt",thấp,"Delayed pickup - cộng đồng creator"
youtube,YT-19,revenue < revenue_baseline * 0.5,revenue,"Doanh thu giảm sâu bất thường → nghi bị giới hạn quảng cáo (biểu tượng vàng)","Rà từng video xem có bị hạn chế quảng cáo; sửa nội dung vi phạm; kháng nghị nếu oan",vừa,"YouTube ad suitability"
youtube,YT-20,subs < subs_baseline * 0.5,engagement,"Subs mới giảm mạnh → nội dung gần đây không còn tạo lý do theo dõi","Rà 5 video gần nhất: kênh còn lời hứa giá trị rõ ràng không; làm 1 video định vị kênh",thấp,"Sub velocity - cộng đồng creator"
